DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,1999,53,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2000,55.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2001,57.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2002,57.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2003,53.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2004,53.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2005,52.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2006,56.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2007,56.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2008,59.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2009,84,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2010,84,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2011,54.3,be
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2012,61.6,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2013,69.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2014,69.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2015,73.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,2016,79,
